,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelwalk,labelsit,labelride,labelrun,mag_phone_x,mag_phone_y,mag_phone_z,loc_phone_latitude,loc_phone_longitude,loc_phone_speed
2023-06-09 19:11:07.262269952,5.865552521,-7.692203979,-0.6367758179,,,,0,0,1,0,,,,,,
2023-06-09 19:11:07.442269952,5.581742706,-3.945345612,-0.8102650452,,,,0,0,1,0,,,,,,
2023-06-09 19:11:07.682269952,7.682324524,-14.26743073,1.927541656,,,,0,0,1,0,,,,,,
2023-06-09 19:11:07.862269952,-0.9045689392,-7.380701752,-0.420176239,,,,0,0,1,0,,,,,,
2023-06-09 19:11:08.042269952,1.596280518,-3.595223694,-3.933969269,,,,0,0,1,0,,,,,,
2023-06-09 19:11:08.282269952,-0.2023791504,-3.978127441,0.8056246948,,,,0,0,1,0,,,,,,
2023-06-09 19:11:08.462269952,6.308331757,-4.68031723,0.2389031982,,,,0,0,1,0,,,,,,
2023-06-09 19:11:08.642269952,8.751401367,-13.91730881,1.138981476,,,,0,0,1,0,,,,,,
2023-06-09 19:11:08.822269952,0.5664221191,-4.211941223,-0.4574487305,,,,0,0,1,0,,,,,,
2023-06-09 19:11:09.062269952,-0.1755848694,-1.696122894,-3.118614807,,,,0,0,1,0,,,,,,
2023-06-09 19:11:09.242269952,4.075574799,-8.221952362,-0.05298980713,,,,0,0,1,0,,,,,,
2023-06-09 19:11:09.422269952,7.803722076,-9.981692963,-0.9286688232,,,,0,0,1,0,,,,,,
2023-06-09 19:11:09.662269952,0.8723858643,-15.03413635,-3.792812805,,,,0,0,1,0,,,,,,
2023-06-09 19:11:09.842269952,4.555327148,-3.791615295,1.472338257,,,,0,0,1,0,,,,,,
2023-06-09 19:11:10.022269952,2.893482971,-7.444618835,-3.539838867,,,,0,0,1,0,,,,,,
2023-06-09 19:11:10.262269952,4.326752472,-4.732708282,0.05718109131,,,,0,0,1,0,,,,,,
2023-06-09 19:11:10.442269952,14.02688095,-12.6951004,-0.2891986084,,,,0,0,1,0,,,,,,
2023-06-09 19:11:10.622269952,3.335663452,-9.995164948,-3.847898254,,,,0,0,1,0,,,,,,
2023-06-09 19:11:10.862269952,9.929750977,-6.805597687,-2.563419342,,,,0,0,1,0,,,,,,
2023-06-09 19:11:11.042269952,8.387807465,-13.29280746,-2.264940033,,,,0,0,1,0,,,,,,
2023-06-09 19:11:11.222269952,3.633843384,-3.728596344,-2.485431519,,,,0,0,1,0,,,,,,
2023-06-09 19:11:11.402269952,13.3785791,-14.82831436,1.259331207,,,,0,0,1,0,,,,,,
2023-06-09 19:11:11.642269952,1.654210052,-10.26176056,-0.6375242615,,,,0,0,1,0,,,,,,
2023-06-09 19:11:11.822269952,8.716074829,-11.03445374,-1.93996582,,,,0,0,1,0,,,,,,
2023-06-09 19:11:12.002269952,6.960974579,-13.05659866,-0.4526586914,,,,0,0,1,0,,,,,,
2023-06-09 19:11:12.242269952,6.033802643,-5.408403168,-1.536255341,,,,0,0,1,0,,,,,,
2023-06-09 19:11:12.422269952,5.647306366,-14.50618423,0.3273692322,,,,0,0,1,0,,,,,,
2023-06-09 19:11:12.602269952,0.9056167603,-5.516328735,0.3914360046,,,,0,0,1,0,,,,,,
2023-06-09 19:11:12.842269952,-2.144141235,-4.902305603,-2.610122223,,,,0,0,1,0,,,,,,
2023-06-09 19:11:13.022269952,5.63518158,-4.978048096,-1.402283936,,,,0,0,1,0,,,,,,
2023-06-09 19:11:13.202269952,15.50041672,-10.71022797,-1.446591797,,,,0,0,1,0,,,,,,
2023-06-09 19:11:13.442269952,2.927013245,-10.41803558,1.409618683,,,,0,0,1,0,,,,,,
2023-06-09 19:11:13.622269952,-0.8822653198,-9.00961441,6.96666275,,,,0,0,1,0,,,,,,
2023-06-09 19:11:13.802269952,-0.809815979,-1.619781647,-3.406316528,,,,0,0,1,0,,,,,,
2023-06-09 19:11:14.042269952,5.483546906,-7.759414215,0.1113684082,,,,0,0,1,0,,,,,,
2023-06-09 19:11:14.222269952,7.702831879,-9.711504822,-0.6644682312,,,,0,0,1,0,,,,,,
2023-06-09 19:11:14.402269952,6.681655426,-9.823471985,1.532513123,,,,0,0,1,0,,,,,,
2023-06-09 19:11:14.582269952,3.014880524,-10.29154861,0.9199868774,,,,0,0,1,0,,,,,,
2023-06-09 19:11:14.822269952,8.112080841,-3.71617218,-2.973716125,,,,0,0,1,0,,,,,,
2023-06-09 19:11:15.002269952,4.93074646,-5.988297272,-2.049238586,,,,0,0,1,0,,,,,,
2023-06-09 19:11:15.182269952,8.451874237,-6.195765839,-1.855391693,,,,0,0,1,0,,,,,,
2023-06-09 19:11:15.422269952,7.222480774,-11.98437836,-1.923799438,,,,0,0,1,0,,,,,,
2023-06-09 19:11:15.602269952,4.920717316,-12.15547256,1.278491364,,,,0,0,1,0,,,,,,
2023-06-09 19:11:15.782269952,0.1612147522,-9.1371492,0.2136058044,,,,0,0,1,0,,,,,,
2023-06-09 19:11:16.022269952,-1.619332581,-5.243595886,-0.9198371887,,,,0,0,1,0,,,,,,
2023-06-09 19:11:16.202269952,5.853727112,-6.926396484,-5.099894714,,,,0,0,1,0,,,,,,
2023-06-09 19:11:16.382269952,4.592899017,-5.370980988,-5.421126709,,,,0,0,1,0,,,,,,
2023-06-09 19:11:16.622269952,6.16522934,-4.167184296,-1.725012817,,,,0,0,1,0,,,,,,
2023-06-09 19:11:16.802269952,7.9016185,-8.498876495,-3.661386108,,,,0,0,1,0,,,,,,
2023-06-09 19:11:16.982269952,3.159928894,-2.606829071,-4.575235748,,,,0,0,1,0,,,,,,
2023-06-09 19:11:17.162269952,5.805527344,-4.719685364,-6.637347565,,,,0,0,1,0,,,,,,
2023-06-09 19:11:17.402269952,5.427862701,-6.017935638,-5.271138611,,,,0,0,1,0,,,,,,
2023-06-09 19:11:17.582269952,13.13383804,-3.737577667,2.794987793,,,,0,0,1,0,,,,,,
2023-06-09 19:11:17.882269952,6.345604248,-4.110302582,9.483079834,0.7387110591,3.059412956,-1.901777267,0,0,1,0,-6.418746948,26.91371918,-57.41769409,,,
2023-06-09 19:11:18.062269952,-0.5614823914,0.8081694031,6.671027527,4.010968685,6.606738567,0.3731971681,0,0,1,0,30.7936554,-6.762971878,-58.28014374,,,
2023-06-09 19:11:18.242269952,2.309098206,2.310146027,6.26582016,-0.5312786698,0.2814998925,-0.02666189149,0,0,1,0,20.70570374,-33.90319061,-24.49988937,,,
2023-06-09 19:11:18.482269952,4.549040222,3.702400818,9.346114655,0.1969857365,-0.2975346744,-0.04905913398,0,0,1,0,-2.152450562,-39.96803284,-9.28637886,,,
2023-06-09 19:11:18.662269952,0.6813830566,3.84370697,4.292623444,-2.177523375,-0.818539083,1.811003804,0,0,1,0,11.77540588,-39.16287231,-26.35957146,,,
2023-06-09 19:11:18.842269952,9.468110962,-7.793543243,6.439758453,-1.012129426,-7.451358795,4.566154957,0,0,1,0,-31.41816711,0.113527298,-53.83129883,,,
2023-06-09 19:11:19.082269952,9.104666748,-0.3344046021,-6.938521271,,,,0,0,1,0,,,,,,
2023-06-09 19:11:19.262269952,7.379803619,-4.122427368,-6.024372253,0.09700129181,0.1258643419,-0.5913207531,0,0,1,0,-53.97320557,-17.07564735,22.44247055,,,
2023-06-09 19:11:19.442269952,7.739355927,0.1100212097,-1.124162292,-0.1361358017,0.480261147,0.3448701799,0,0,1,0,-65.49799347,-8.073360443,17.81055832,,,
2023-06-09 19:11:19.682269952,5.065466309,-4.249962158,-8.246950378,,,,0,0,1,0,,,,,,
2023-06-09 19:11:19.862269952,5.932463379,-5.064268799,-6.604116669,0.2821577191,1.225306511,0.6252066493,0,0,1,0,-68.03057098,14.69412613,45.66693878,,,
2023-06-09 19:11:20.042269952,7.957452393,-3.359913025,-2.91354126,-0.377476275,1.137522221,0.2493657619,0,0,1,0,-81.20226288,14.28371429,31.05781555,,,
2023-06-09 19:11:20.282269952,-0.8207432556,-7.910150757,-3.360811157,,,,0,0,1,0,,,,52.33359549,4.914324795,-1.0
2023-06-09 19:11:20.462269952,-2.149380341,-5.314099274,0.6258485413,1.637784123,2.415537596,4.34198904,0,0,1,0,-13.51805115,60.42970276,-15.25815773,,,
2023-06-09 19:11:20.642269952,3.113226013,-12.1801712,4.588108978,0.7088171244,4.411996841,-5.127962112,0,0,1,0,-28.82933044,49.59018326,-23.00108528,,,
2023-06-09 19:11:20.822269952,5.380411377,-10.21221359,-0.5950126648,-0.5152424574,-0.4257602394,-0.06770700216,0,0,1,0,-33.43861389,41.12746429,-29.63824463,,,
2023-06-09 19:11:21.062269952,3.315006409,-9.415869598,-3.33820816,-1.523473144,-0.7524856925,-0.2686439157,0,0,1,0,-38.88491821,45.54619598,-17.67386246,,,
2023-06-09 19:11:21.242269952,5.305716705,-9.322912903,-2.941533051,-2.328169584,-1.309974074,-2.054760933,0,0,1,0,-45.08737183,46.67705536,-0.7784042358,,,
2023-06-09 19:11:21.422269952,1.561852112,-3.973038025,-4.541406097,0.2331905663,0.8396015763,0.5005905628,0,0,1,0,-70.27919769,37.12174988,22.55017471,,,
2023-06-09 19:11:21.662269952,4.916076965,-6.741381226,-1.568288727,1.605194092,1.526006699,1.045168996,0,0,1,0,-41.83882141,47.40075302,-13.76750183,,,
2023-06-09 19:11:21.842269952,7.42770401,-9.350605316,-1.570833435,1.54050529,-0.3175342679,0.2716012299,0,0,1,0,-28.66773987,48.47986603,-24.70955276,,,
2023-06-09 19:11:22.022269952,11.68904251,-9.926607513,-0.1591191101,0.7797135115,-0.7911241651,0.5272763968,0,0,1,0,-28.89031982,43.1095047,-30.32601166,,,
2023-06-09 19:11:22.262269952,-1.992805939,-10.70169571,0.435743866,,,,0,0,1,0,,,,,,
2023-06-09 19:11:22.442269952,0.3899391174,-5.595813446,-0.9160949707,-1.2825526,-1.859182596,-0.7488740087,0,0,1,0,-64.12664795,40.13922119,13.13238525,,,
2023-06-09 19:11:22.622269952,3.750600586,-6.683152313,0.9333091736,1.756970167,3.302503824,1.913699865,0,0,1,0,-45.88699341,48.09346008,-7.449071884,,,
2023-06-09 19:11:22.862269952,11.23309067,-5.590574341,-2.784659271,,,,0,0,1,0,,,,,,
2023-06-09 19:11:23.042269952,10.16311569,-11.65850601,-9.257798309,0.3046500981,-0.8893123269,0.3280826807,0,0,1,0,-29.12051392,43.69046783,-29.63347626,,,
2023-06-09 19:11:23.222269952,-0.7786807251,-9.438472595,-0.2171983337,-3.240756273,1.065199137,-0.4496759474,0,0,1,0,-39.12228394,47.8553772,-12.06316948,,,
2023-06-09 19:11:23.462269952,-0.8047265625,-3.606300659,-2.659968567,,,,0,0,1,0,,,,,,
2023-06-09 19:11:23.642269952,4.37255722,-4.620741119,0.369282074,0.7847204804,2.383044004,2.319451094,0,0,1,0,-45.07791138,42.38541031,-10.84985733,,,
2023-06-09 19:11:23.822269952,7.418423309,-5.821094971,-4.809648285,0.84787184,-0.3429149389,1.566504002,0,0,1,0,-20.15704346,51.26640701,-24.70650864,,,
2023-06-09 19:11:24.002269952,9.87780899,-9.908794556,-2.28634552,0.5082073808,0.1125806496,1.089581728,0,0,1,0,-19.84649658,48.59358215,-27.22182465,,,
2023-06-09 19:11:24.242269952,-0.8544232178,-11.06064926,0.5047503662,-2.67831707,-0.3679747581,-1.079256177,0,0,1,0,-33.08001709,50.36906433,-15.13659668,,,
2023-06-09 19:11:24.422269952,2.208357697,-6.267317047,-1.917512512,-1.302463055,-1.411828279,-1.399104476,0,0,1,0,-53.38049316,36.6312027,-1.672515869,,,
2023-06-09 19:11:24.602269952,5.56961792,-8.685987396,-2.079176331,0.816572547,0.8214690685,1.753531575,0,0,1,0,-47.30110168,40.95841599,-12.00987816,,,
2023-06-09 19:11:24.842269952,5.6070401,-4.428690491,-1.057850189,,,,0,0,1,0,,,,,,
