,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelwalk,labelsit,labelride,labelrun,mag_phone_x,mag_phone_y,mag_phone_z,loc_phone_latitude,loc_phone_longitude,loc_phone_speed,simple_dist_outlier
2023-06-09 19:13:53.502269952,7.223528595,-8.263865204,1.603465576,0.7028351426,-0.8552814126,3.434637308,0,0,1,0,-21.41716003,50.95122528,-23.71039963,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:53.752269952,11.51211044,-7.835605774,-4.169729004,1.21046555,-2.311709881,1.197004795,0,0,1,0,-16.62858582,49.0453186,-28.51401138,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:54.002269952,1.766027527,-9.547296295,0.9621990967,-1.7184565367,-0.51825305825,-0.7486901879,0,0,1,0,-43.326927185,40.11680412,-17.35406876,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:54.252269952,-2.108814697,-1.744098129,-1.1457174685,1.231999755,0.01234866958,3.202811718,0,0,1,0,-37.04399109,43.12269211,-22.05867767,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:54.502269952,12.79419434,-14.87262222,0.8890013123,1.606334209,-1.558545113,1.232913136,0,0,1,0,-17.72151184,50.41117859,-27.89045334,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:54.752269952,-0.2303709412,-9.75970459,3.079546051,-0.7766535878,-5.795657158,-1.952602506,0,0,1,0,-26.38250732,45.92861938,-30.29833031,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:55.002269952,-2.748284912,-6.108497314,2.154619446,-1.3615766315,1.60317637015,-2.354295075,0,0,1,0,-44.967910765,41.898735045,-16.86862278,52.33359549,4.914324795,-1.0,False
2023-06-09 19:13:55.252269952,8.124879228,-8.750727767,-0.2610571289,1.703911424,0.2837928832,2.282001972,0,0,1,0,-19.9929657,51.80300522,-23.85899734,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:55.502269952,1.474882965,-13.5020723,-1.442999268,0.8598748446,-3.328715086,-1.117846251,0,0,1,0,-19.43023682,47.08139038,-32.16128159,52.33359549,4.914324795,-1.0,False
2023-06-09 19:13:55.752269952,8.611143036,-6.946005707,0.680634613,-1.8310323953,3.1842274665000003,-1.126362264,0,0,1,0,-46.672264095,43.522703175,-16.563838005,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:56.002269952,7.019802246,-17.06720856,2.309996338,-0.2677329779,1.403564215,2.610974789,0,0,1,0,-18.84671021,52.23835754,-23.12574196,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:56.252269952,6.084397430499999,-8.9468199935,-2.9281359101,1.745739818,-4.444531441,0.4267195463,0,0,1,0,-13.62986755,49.21350098,-30.45886612,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:56.502269952,11.11199249,-7.696095886,-2.624192963,-3.204044342,2.099473476,-2.021147728,0,0,1,0,-39.68313599,46.87649536,-14.64117622,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:56.752269952,2.034569092,-7.464527435,2.531385956,0.1327083930499999,0.3735322358,2.5012737515,0,0,1,0,-42.635269165,42.909709930000005,-15.9680604915,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:57.002269952,9.294472046,-3.895499268,0.1580712891,1.500895739,-2.900569201,1.459204912,0,0,1,0,-14.25923157,49.89644623,-28.06788445,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:57.252269952,6.438785477,-10.277552718,2.252740402,-2.055157423,-1.620900273,-2.172011614,0,0,1,0,-30.75923157,48.1038208,-23.51914597,52.33447776829667,4.891991603794989,-0.011739427005407843,False
